id,title,sort_title,genre,notes,url
54,Le François à Londres,françois à londres,Comédie,First performed in Paris on 3 Jul 1727.,https://books.google.com/books?id=JYlZAAAAcAAJ&pg=PP9#v=onepage&q&f=false
7,Die Freundschaft auf der Probe,freundschaft auf der probe,Singspiel,,
288,Der Freundschaft der Weiber,freundschaft der weiber,Lustspiel,,
239,Der Furchtsame,furchtsame,Lustspiel,,
169,Das Gärtnermädchen von Fraskati,gaertnermaedchen von fraskati,Singspiel,Adapted from La frascatana.,
271,Der Geburtstag,geburtstag,Lustspiel,Performed once by the Nationaltheater on 7 Feb 1779. This performance on 28 Dec 1781 is not in Hadamowsky or Von Alth/Obzyna. Perhaps Theaterschule?,
80,Die Gefahren der Verführung,gefahren der verfuehrung,Schauspiel,"Free adaptation of Mercier's Jenneval, ou le Barnevelt français (1769)",
86,Die gegenseitige Probe,gegenseitige probe,Lustspiel,Adapted from L'eprouve reciproque.,
117,"Geschwind, eh es jemand erfährt","geschwind, eh es jemand erfaehrt",Lustspiel,,
10,Die Geschwisterliebe,geschwisterliebe,Schauspiel,,https://books.google.com/books?id=SmxVAAAAcAAJ&pg=PA1#v=onepage&q&f=false
205,Gianetta Montaldi,gianetta montaldi,Trauerspiel,,
218,Der Graf von Olsbach,graf von olsbach,Lustspiel,,
55,Der Graf von Walltron,graf von walltron,Trauerspiel,,
84,Die große Batterie,große batterie,Lustspiel,,
278,Die Gunst der Fürsten,gunst der fuersten,Trauerspiel,First performed by the court theater in 1773. Ultimately derived from The Unhappy Favourite or The Earl of Essex by John Banks.,https://books.google.com/books?id=TCRVAAAAcAAJ&pg=PA1#v=onepage&q&f=false
215,Die gute Tochter,gute tochter,Lustspiel,,
187,Der gutherzige Murrkopf,gutherzige murrkopf,Lustspiel,After Goldoni's Il burbero benefico,
128,Hamlet,hamlet,Trauerspiel,,
46,"Hanns bleibt Hanns, oder der Bauer, ein Fürst","hanns bleibt hanns, oder der bauer, ein fuerst",Lustspiel,,https://books.google.com/books?id=Z3UyAQAAMAAJ&newbks=1&pg=PA1#v=onepage&q&f=false
87,Der Hausfreund,hausfreund,Singspiel,Adapted from L'Ame de maison,
257,Die Haushaltung nach der Mode,haushaltung nach der mode,Lustspiel,,https://books.google.com/books?id=e92BHvWwvD0C&pg=PA1#v=onepage&q&f=false
45,Der Hausvater,hausvater,Lustspiel,,
157,Die heimliche Heyrath,heimliche heyrath,Lustspiel,Adapted from Colman's The clandestine marriage (1766),
132,Henriette,henriette,Lustspiel,"Henriette, oder Sie ist schon verheiratet",
186,"Héraclite, ou le Triomphe de la Beauté","heraclite, ou le triomphe de la beaute",Comédie,"The title page of the 1783 edition has ""Représentée pour la premiere fois à Paris, par les Comédiens Italiens ordinaires du Roi, le Décembre 1783.""",https://books.google.com/books?id=Q8RoAAAAcAAJ&newbks=1&pg=PP3#v=onepage&q&f=false
145,Der Herr Gevatter,herr gevatter,Lustspiel,,
38,Die Holländer,hollaender,Lustspiel,First performed by the court theater in the Burgtheater on 14 Nov 1778.,
77,L'Homme du jour,homme du jour,Comédie,Comèdie en vers,https://books.google.com/books?id=lXliAAAAcAAJ&pg=PA1#v=onepage&q&f=false
92,"L'Homme noir, ou le Spleen","homme noir, ou le spleen",Comédie,"Earliest edition on WorldCat is 1778. This work has two acts, whereas Schletter has ""3. A.""",https://books.google.com/books?id=xbxoAAAAcAAJ&pg=PA1#v=onepage&q&f=false
34,Die Horazier,horazier,Ballet,"Noverre's ballet d'action Les Horaces et les Curiaces, with music by Starzer, was first performed in Vienna in 1772. The ballet performed in 1781 might have been Peter Vogt's ""imitation,"" Die Horazier und Kuriazier.",https://digital.slub-dresden.de/werkansicht/dlf/54395/3/
146,Le Huron,huron,Opéra comique,First performed in 1768,https://fr.wikipedia.org/wiki/Le_Huron_(op%C3%A9ra)
283,Il natale di Apollo,il natale di apollo,Cantata,"Righini’s Il natale di Apollo is usually said to have been composed for the TKS concert in Dec 1789. If “Apolls Geburtstag” on 18 and 25 Mar 1781 is the same work, this places it considerably earlier.",
249,L'Impromptu du coeur,impromptu du coeur,,Five items on CÉSAR with the title L'Impromptu du coeur. Could this be a kind of generic title?,
162,Inkle und Yariko,inkle und yariko,Trauerspiel,"On versions of this story, see Walton 2005",https://books.google.com/books?id=A4LcPlzFo24C&newbks=1&pg=PA1#v=onepage&q&f=false
236,Iphigenie auf Tauris,iphigenie auf tauris,Singspiel,,
2,Irene,irene,Trauerspiel,,
279,Das Irrlicht,irrlicht,Singspiel,,https://books.google.com/books?id=9ZBIAAAAcAAJ&pg=PA1#v=onepage&q&f=false
190,Der Jahrmarkt von Venedig,jahrmarkt von venedig,Singspiel,After Salieri's La fiera di Venezia,
151,Jeannot et Colin,jeannot et colin,Comédie,,https://books.google.com/books?id=4OM7AAAAcAAJ&pg=PA1#v=onepage&q&f=false
93,"Jenny, oder die Uneigennützigkeit","jenny, oder die uneigennuetzigkeit",Drame,"Translation of Jenni, out le Désintéressement (1771)",
222,Le Jugement de Midas,jugement de midas,Comédie mêlée d'ariettes,First performed publicly in Paris by the Comédiens Italiens on 27 Jun 1778.,https://books.google.com/books?id=jXOEhKZFwo0C&pg=PA1#v=onepage&q&f=false
