id,date,theater,company,title,genre,author,composer,notes
324,1781-07-01,Kth,French,Orphée et Euridice,Tragédie-opéra,Calzabigi,Gluck,NA
325,1781-07-02,Bth,Court,Juliane von Lindorak,Lustspiel,Gozzi,NA,NA
326,1781-07-02,Bth,Court,Die abgenöthige Einwilligung,Lustspiel,Guyot de Merville,NA,NA
327,1781-07-02,Kth,Preßburg,Das Gärtnermädchen von Fraskati,Singspiel,Livigni,Paisiello,NA
328,1781-07-02,Kth,Preßburg,Die Faßbinder,Ballet,unknown,unknown,NA
329,1781-07-03,Bth,Court,Die Ungetreuen,Lustspiel,Barthe,NA,NA
330,1781-07-03,Bth,Court,"Die pücefarbnen Schuhe, oder Die schöne Schusterin",Singspiel,Stephanie d. J.,Umlauf,NA
331,1781-07-03,Kth,French,La Colonie,Opéra comique,unknown,Framery,NA
332,1781-07-03,Kth,French,"Crispin, Rival de son maître",Comédie,Lesage,NA,NA
333,1781-07-04,Bth,Court,Der Graf von Walltron,Trauerspiel,Möller,NA,NA
334,1781-07-04,NA,Preßburg,Das Gärtnermädchen von Fraskati,Singspiel,Livigni,Paisiello,NA
335,1781-07-04,Kth,Preßburg,Bauern verstehn nicht Spaß,Ballet,unknown,unknown,NA
336,1781-07-05,Bth,Court,Die unversehene Wette,Lustspiel,Sedaine,NA,NA
337,1781-07-05,Bth,Court,Die eingebildeten Philosophen,Singspiel,Bertati,Paisiello,NA
338,1781-07-05,Kth,French,La Colonie,Opéra comique,unknown,Framery,NA
339,1781-07-05,Kth,French,Les Deux Avares,Opéra comique,Falbaire de Quingey,Grétry,NA
340,1781-07-06,NA,NA,Theaters closed,NA,NA,NA,NA
341,1781-07-07,Bth,Court,Der Dienstfertige,Lustspiel,La Salle,NA,NA
348,1781-07-07,Bth,Court,Der Dichterling,Lustspiel,Eberl,NA,NA
349,1781-07-07,Kth,French,Le Tout en peu,Comédie,unknown,NA,NA
350,1781-07-07,Kth,French,"Les Menechmes, ou les Jumeaux",Comédie,Regnard,NA,NA
342,1781-07-08,Bth,Court,Der Sklavenhändler von Smyrna,Lustspiel,Chamfort,NA,NA
343,1781-07-08,Kth,Preßburg,Der Stolz des Grafen Barcelona,Singspiel,unknown,unknown,The singspiel is unidentified
344,1781-07-08,Kth,Preßburg,Die sieben Schwaben,Ballet,unknown,unknown,"""Die 7. Schwaben. B."""
345,1781-07-09,Bth,Court,Der Rauchfangkehrer,Singspiel,Auenbrugger,Salieri,NA
346,1781-07-09,Kth,French,Le Somnambule,Comédie,Ferriol de Pont-de-Veyle,NA,NA
347,1781-07-09,Kth,French,La Fausse Magie,Comédie mêlée d'ariettes,Marmontel,Grétry,NA
351,1781-07-10,Bth,Court,Der Barbier von Sevilien,Lustspiel,Beaumarchais,NA,NA
352,1781-07-10,Kth,Preßburg,Milton und Elmire,Singspiel,Reinwald,Michl,"""Milton und Elmire / A. v. Göthe. Ballet.""Schletter may have confused Milton und Elmire with Goethe's Erwin und Elmire, which had been in the repertory of the court theater since 1776."
353,1781-07-10,Kth,Preßburg,No title,Ballet,unknown,unknown,NA
354,1781-07-11,Bth,Court,Der Liebhaber als ein Schriftsteller und Bedienter,Lustspiel,Cérou,NA,NA
355,1781-07-11,Bth,Court,Die Wâschermädchen,Singspiel,Bock,Zanetti,Performed only three times
356,1781-07-11,Kth,French,"Héraclite, ou le Triomphe de la Beauté",Comédie,Rauquil-Lieutaud,NA,NA
357,1781-07-11,Kth,French,Les Précieuses ridicules,Comédie,Molière,Monsigny,NA
358,1781-07-12,Bth,Court,Der gutherzige Murrkopf,Lustspiel,Goldoni,NA,NA
359,1781-07-12,Bth,Court,Andromeda und Perseus,Schauspiel,Kempelen,Zimmermann,Final performance
360,1781-07-12,Kth,Preßburg,Ariadne auf Naxos,Duodrama,Brandes,Benda,NA
361,1781-07-12,Kth,Preßburg,Inkle und Yariko,Trauerspiel,Pelzel,NA,Confusion over multiple works with this or related titles.
362,1781-07-12,Kth,Preßburg,No title,Ballet,unknown,unknown,NA
363,1781-07-13,NA,NA,Theaters closed,NA,NA,NA,NA
364,1781-07-14,Bth,Court,Der Dienstfertige,Lustspiel,La Salle,NA,NA
365,1781-07-14,Bth,Court,Der verlogene Bediente,Lustspiel,Garrick,NA,NA
366,1781-07-14,Kth,Preßburg,Der Jahrmarkt von Venedig,Singspiel,Boccherini,Salieri,NA
367,1781-07-15,Bth,Court,Der verlogene Bediente,Lustspiel,Garrick,NA,NA
368,1781-07-15,Bth,Court,Die Wâschermädchen,Singspiel,Bock,Zanetti,NA
369,1781-07-15,Kth,French,"La Comédie à l'impromptu, ou les Dupes",Comédie,Dorvigny,NA,NA
370,1781-07-15,Kth,French,Le Tonnellier,Opéra comique,Audinot,Gossec,NA
371,1781-07-15,Kth,French,La Servante maitresse,Opéra comique,Favart,unknown,NA
372,1781-07-16,Bth,Court,Die heimliche Heyrath,Lustspiel,Colman,NA,NA
373,1781-07-16,Kth,French,Inkle und Yariko,Trauerspiel,Pelzel,NA,NA
374,1781-07-16,Kth,French,No title,Ballet,unknown,unknown,NA
375,1781-07-16,Kth,French,Springerkünde (tumblers),NA,NA,NA,NA
376,1781-07-17,Bth,Court,"Adelaide, oder die Antipathie gegen die Liebe",Lustspiel,Du Doyer de Gastels,NA,Final performance
377,1781-07-17,Bth,Court,"Die pücefarbnen Schuhe, oder Die schöne Schusterin",Singspiel,Stephanie d. J.,Umlauf,NA
