id,date_id,theater,company,title,genre,author,composer,notes
75,2/14/1781,Bth,Court,Der Graf von Walltron,Trauerspiel,Möller,NA,NA
76,2/14/1781,Kth,Kinder,Die Näscherinn,Singspiel,Weiße,Kriner,NA
77,2/14/1781,Kth,Kinder,Agamemnon,Ballet,Noverre,unknown,NA
NA,NA,NA,NA,NA,NA,Decamp,NA,NA
78,2/15/1781,Bth,Court,Die Liebe unter den Handwerksleuten,Singspiel,Goldoni,Gassmann,NA
NA,NA,NA,NA,NA,NA,unknown,NA,NA
79,2/15/1781,Kth,French,Le Déserteur,Drame mêlé de musique,Sedaine,Monsigny,NA
NA,NA,NA,NA,NA,NA,Stephanie d. J.,NA,NA
80,2/15/1781,Kth,French,No title,Ballet,unknown,unknown,NA
81,2/16/1781,Bth,NA,"Concert, Anton Ulbrich",NA,NA,NA,"""Musikalische Akadamie zum Vortheil Hr. Anton Ulbrich, von WIen.""""Anton"" may have been either Anton Ignaz Ulbrich (1706–1796) or his son Anton Johann Nepomuk (1754–1830), both trombonists. Neither is known to have composed. One wonders whether this might have been a family concert, perhaps also including Johann Nepomuk Maximilian (1743–1814), who was a composer."
82,2/17/1781,Bth,Court,Das Loch in der Thüre,Lustspiel,Stephanie d. J.,NA,NA
83,2/17/1781,Kth,French,Les Talens à la mode,Comédie,Boissy,NA,NA
84,2/17/1781,Kth,French,La Double Frayeur,Comédie,unknown,NA,NA
85,2/17/1781,Kth,French,No title,Ballet,unknown,unknown,NA
86,2/18/1781,Bth,Court,Das Loch in der Thüre,Lustspiel,Stephanie d. J.,NA,NA
87,2/18/1781,Kth,Kinder,"Hanns bleibt Hanns, oder der Bauer, ein Fürst",Lustspiel,Schink,NA,NA
88,2/18/1781,Kth,Kinder,Die Horazier,Ballet,Vogt,unknown,NA
89,2/19/1781,Bth,Court,Die Liebe unter den Handwerksleuten,Singspiel,Goldoni,Gassmann,NA
NA,NA,NA,NA,NA,NA,unknown,NA,NA
90,2/19/1781,Kth,French,Les Talens à la mode,Comédie,Boissy,NA,NA
91,2/19/1781,Kth,French,Le Tonnellier,Opéra comique,Audinot,Gossec,NA
92,2/19/1781,Kth,French,No title,Ballet,unknown,unknown,NA
